"Story","Title","Result","Date","Stability","Duration (s)"
"Create user service","Successful creation of a user in petStore","SUCCESS","2023-05-22T20:04:43.7276569-05:00[America/Bogota]","0.0","9.3"
"Place an order service","Successful order for a pet","SUCCESS","2023-05-22T20:05:17.0745114-05:00[America/Bogota]","0.0","9.36"
